
Sevnur,swbo1wr,سونور
Sevsay,swzey,سوصای
Sevsen,swsbo1,سوسن
Sevsevil,swswyl,سوسویل
Sevtap,swbo2ebu1,سوتاب
Sevük,swwfo2,سووق
Sevük,swwk,سووک
Sevüktekin,swwfo2 bo2kybo1,سووق تکین
Sevüktekin,swwkbo2kybo1,سووکتکین
Sevünç,swwbo1xu3,سوونچ
Seyda,syde,سیدا
Seydagil,sydeko7yl,سیداگیل
Seydaoğlu,syde ewao1ly,سیدا اوغلی
Seydi,sydy,سیدی
Seydibeyoğlu,bo3ydy bu1ko7 ewao1ly,ثیدی بگ اوغلی
Seyfali,syfo1 aly,سیف علی
Seyfelioğlu,syfo1h ly ewao1ly,سیفه لی اوغلی
Seyfettin,syfo1 eldybo1,سیف الدین
Seyfi,syfo1y,سیفی
Seyfiye,syfo1yh,سیفیه
Seyfullah,syfo1 ellh,سیف الله
Seyhan,syxebo1,سیحان
Seyhan,syxo1ebo1,سیخان
Seyhanlı,syxebo1ly,سیحانلی
Seyhun,syxwbo1,سیحون
Seyit,syd,سید
Seyitgâzi,sbu2d ao1ero1y,سيد غازی
Seyithan,sydxo1ebo1,سیدخان
Seylân,sylebo1,سیلان
Seylâp,sylebu1,سیلاب
Seymen,sko7mbo1,سگمن
Seymen,symbo1,سیمن
Seymenoğlu,sko7mbo1 ewao1ly,سگمن اوغلی
Seymenoğlu,symbo1 ewao1ly,سیمن اوغلی
Seyran,syrebo1,سیران
Seyyal,syel,سیال
Seyyare,syerh,سیاره
Seyyide,sydh,سیده
Seza,sro1e,سزا
Sezai,sro1ebo5y,سزائی
Sezal,sro1el,سزال
Sezan,sro1ebo1,سزان
Sezay,sro1ey,سزای
Sezek,sro1k,سزک
Sezel,sro1l,سزل
Sezen,sro1bo1,سزن
Sezer,sro1r,سزر
Sezgen,sro1ko7bo1,سزگن
Sezgi,sro1ko7y,سزگی
Sezgin,sro1ko7ybo1,سزگین
Sezginay,sro1ko7ybo1ey,سزگینای
Sezginbaş,sro1ko7ybo1 bu1eso3,سزگین باش
Sezginler,sro1ko7ybo1lr,سزگینلر
Sezi,sro1y,سزی
Sezim,sro1ym,سزیم
Sezin,sro1ybo1,سزین
Seziş,sro1yso3,سزیش
Sezmen,sro1mbo1,سزمن
Seçen,sxu3bo1,سچن
Seçer,sxu3r,سچر
Seçgül,sxu3ko7l,سچگل
Seçik,sxu3yk,سچیک
Seçil,sxu3yl,سچیل
Seçilay,sxu3yley,سچیلای
Seçim,sxu3ym,سچیم
Seçkin,sxu3kybo1,سچکین
Seçkiner,sxu3kybo1 eo5r,سچکین أر
Seçkiner,sxu3kybo1r,سچکینر
Seçme,sxu3mh,سچمه
Seçmeer,sxu3mh eo5r,سچمه أر
Seçmen,sxu3mbo1,سچمن
Seçmener,sxu3mbo1 eo5r,سچمن أر
Seğmen,sko7mbo1,سگمن
Sibel,sybu1l,سیبل
Sidre,sdrh,سدره
Siirt,sard,سعرد
Sili,syly,سیلی
Silivri,slwry,سلوری
Silivrili,slwryly,سلوریلی
Silsüpür,syl swbu3wr,سیل سوپور
Silvan,slwebo1,سلوان
Sim,sym,سیم
Sima,syme,سیما
Simav,sbu2mew,سيماو
Simavi,smewy,سماوی
Simay,symey,سیمای
Simayişems,symey so3ms,سیمای شمس
Simber,symbu1r,سیمبر
Simden,symdbo1,سیمدن
Simer,symr,سیمر
Simge,symko7h,سیمگه
Simhan,symxo1ebo1,سیمخان
Simin,symybo1,سیمین
Simruy,symrwy,سیمروی
Simten,symbo2bo1,سیمتن
Simüzer,sym wro1r,سیم وزر
Sin,s,س
Sin,sybo1,سین
Sina,bo3bo1e,ثنا
Sina,sybo1e,سینا
Sinan,sbo1ebo1,سنان
Sinanoğlu,sbo1ebo1 ewao1ly,سنان اوغلی
Sincan,sbo1xu1ebo1,سنجان
Sincar,sbo1xu1er,سنجار
Sine,sybo1h,سینه
Sinem,sybo1m,سینم
Singin,sybo1ko7ybo1,سینگین
Sinop,sbu2bo1wbu3,سينوپ
Sipahi,sbu3ehy,سپاهی
Sipahioğlu,sbu3ehy ewao1ly,سپاهی اوغلی
Siper,sybu3r,سیپر
SiraLp,syreo6lbu3,سیرآلپ
Siracettin,srexu1 eldybo1,سراج الدین
Siraküza,syrekwro1e,سیراکوزا
Siraç,syrexu1,سیراج
Sirel,syrl,سیرل
Siren,syrbo1,سیرن
Sirer,syrr,سیرر
Siret,syrbo2,سیرت
Sirmen,syrmbo1,سیرمن
Sitare,sbo2erh,ستاره
