Abayhan,آبایخان
Beri,بری
Berkal,بركال
Berkan,برقان
Berkant,برقانت
Berkay,برقای
Berkay,بركای
Berkel,بركل
Berker,بركر
Berkin,بركین
Berki,بركی
Berkkan,بارككان
Berkman,بركمان
Berkmen,بركمن
Berk,برك
Berk,برق
Berkok,برقوق
Berkol,برقول
Berköz,برك اوز
Berksal,باركسال
Berksan,بركسان
Berksay,بركسای
Berksoy,برقصوی
Berksun,برقصون
Berksu,برقصو
Berktan,بركتان
Berktin,بركتین
Berkün,بركون
Bertan,برتان
Berter,برتر
Beşarettin,بشارالدین
Besat,بساط
Beşer,بشر
Besim,بسیم
Beşir,بشیر
Betim,بتیم
Beyazid,بیضیت
Beyazıt,بیضید
Beybars,بیبارس
Beybolat,بیبولاد
Beycan,بیجان
Beydağ,بیداغ
Beyda,بیدا
Beydaş,بیداش
Beygu,بیغو
Beykal,بیقال
Beykan,بیكان
Beykara,بیقره
Beyrek,بیرك
Beysan,بیسان
Beytekin,بیتكین
Beytemir,بیتمیر
Beytöre,بیتوره
Beytullah,بیت الله
Beyzade,بگزاده
Beyzat,بیضات
Bican,بیجان
Bilal,بلال
Bilâl,بلال
Bilan,بیلان
Bilbaşar,بیلباشار
Bilbay,بیلبای
Bileda,بیله ده
Bilek,بیلك
Bilender,بیلندر
Bilgealp,بیلگه آلپ
Bilgebay,بیلگه بای
Bilgeer,بیلگه أر
Bilgekağan,بیلگه قاغان
Bilgekan,بیلگه قان
Bilgekurt,بیلگه قورت
Bilgekut,بیلگه قوت
Bilger,بیلگر
Bilgetay,بیلگه تای
Bilgetürk,بیلگه تورك
Bilgiç,بیلگیچ
Bilgihan,بیلگی خان
Bilginer,بیكگینر
Bilgin,بیلگین
Bilgü,بیلگو
Bilgütay,بیلگوتای
Bilik,بیلیگ
Bilkan,بیلقان
Bilmen,بیلمن
Bilnur,بیلنور
Bilsay,بیلسای
Biltaş,بیلطاش
Biltay,بیلتای
Bilyap,بیلیاپ
Binali,بن علی
Binal,بینآل
Binalp,بین آلپ
Binan,بینان
Binat,بینات
Binbaşar,بین باشار
Binbay,بینبای
Bindal,بیندال
Biner,بینر
Bingöl,بینگول
Binışık,بین ایشیق
Binkan,بینقان
