âbâ,آباء
muktezây-ı rahmet,"مُقْتَضَايِ رَحْمَتْ "
muktezâ-yı adâlet,"مُقْتَضَايِ عَدَالَتْ "
muktezî,مُقْتَض۪ي
mukteza-yı hikmet,مُقْتَضَاي حِكْمَتْ
mukaddem,مُقَدَّمْ
mukaddeme,مُقَدَّمَه
mukaddeme,"مُقَدَّمَه "
mukaddeme-i mükâfat-ı lahika,مُقَدَّمَۀِ مُكَافَاتِ لَاحِقَه
mukadder,"مُقَدَّرْ "
mukadderât,"مُقَدَّرَاتْ "
mukadderât-ı beşer,مُقَدَّرَاتِ بَشَرْ
mukadderât-ı hayât,"مُقَدَّرَاتِ حَيَاتْ "
mukadderât-ı hayâtiye,"مُقَدَّرَاتِ حَيَاتِيَه "
mukaddes,مُقَدَّسْ
mukaddesât,"مُقَدَّسَاتْ "
mukaddime,"مُقَدِّمَه "
mukannen,مُقَنَّنْ
mukarreb,"مُقَرَّبْ "
mukarrer,"مُقَرَّرْ "
mukavves,مُقَوَّسْ
mukayyed,"مُقَيَّدْ "
munsıf,"مُنْصِفْ "
muntazır,"مُنْتَظِرْ "
muntazam,"مُنْتَظَمْ "
muntazaman,"مُنْتَظَمًا "
munazzım,مُنَظِّمْ
murâd,"مُرَادْ "
murâkabe,"مُرَاقَبَه "
murdia,مُرْضِعَه
murdar,"مُرْدَارْ "
murassa',"مُرَصَّعْ "
musibet-i âmme,مُص۪يبَتِ عاَمَّه
musîbet-i âmme,مُصِيبَتِ عَامَّه
musibetzede,"مُص۪يبَتْزَدَه "
musîbetzede,"مُص۪يبَتْزَدَه "
musaddak,"مُصَدَّقْ "
musaffâ,مُصَفّٰي
musahhih,"مُصَحِّحْ "
musahhar,"مُسَخَّرْ "
musahhariyet,"مُسَخَّرِيَتْ "
musallat,"مُسَلَّطْ "
musammem,"مُصَمَّمْ "
musannif,مُصَنِّفْ
musanna',مُصَنَّعْ
musarrah,"مُصَرَّحْ "
musavvir,مُصَوِّرْ
musavvir,مُصَوِّرْ
mutâbık,"مُطَابِقْ "
mutâbık-ı muktezâ-yı hâl,"مُطَابِقِ مُقْتَضَايِ حَالْ "
mutâbık-ı muktezĀ-yı hâl,"مُطَابِقِ مُقْتَضَايِ حَالْ "
mutĀbık-ı vâki',مُطَابِقِ وَاقِعْ
mutâbakat,"مُطَابَقَتْ "
mu'teber,مُعْتَبَرْ
mu'teriz,"مُعْتَرِضْ "
mu'tezile,مُعْتَزِلَه
mutî',"مُط۪يعْ "
mutlak,"مُطْلَقْ "
mutmain,"مُطْمَئِنْ "
muttali',"مُطَّلِعْ "
muttarid,"مُطَّرِدْ "
muttasıf,"مُتَّصِفْ "
muttasıl,"مُتَّصِلْ "
mutantan,مُطَنْطَنْ
mutasarrıf,"مُتَصَرِّفْ "
mutasavver,"مُتَصَوَّرْ "
mutaassıb,مُتَعَصِّبْ
mutazammın,مُتَضَمِّنْ
muvâfık,"مُوَافِقْ "
muvâfakat,"مُوَافَقَتْ "
muvâzene,"مُوَازَنَه "
muvâzene,"مُوَازَنَه "
muvâzî,"مُوَاز۪ي "
muvaffak,"مُوَفَّقْ "
muvaffakiyet,"مُوَفَّقِيَتْ "
muvahhid,"مُوَحِّدْ "
muvahhidîn,"مُوَحِّد۪ينْ "
muvahhiş,مُوَحِّشْ
muvakkat,"مُوَقَّتْ "
muvakkaten,"مُوَقَّتاً "
muvazzaf,"مُوَظَّفْ "
muaccel,مُعَجَّلْ
muacciz,"مُعَجِّزْ "
muahhar,مُؤَخَّرْ
muallâ,"مُعَلَّا "
muallem,مُعَلَّمْ
muallim,مُعَلِّمْ
muallim-i ekber,مُعَلِّمِ اَكْبَرْ
muallim-i ukŪl,مُعَلِّمِ عُقُولْ
muallak,مُعَلَّقْ
muammâ,"مُعَمَّا "
muammâ-yı hilkat,"مُعَمَّايِ خِلْقَتْ "
muammer,"مُعَمَّرْ "
muannid,مُعَنِّدْ
muarrif,مُعَرِّفْ
muattıl,"مُعَطِّلْ "
muattal,"مُعَطَّلْ "
muayyen,"مُعَيَّنْ "
muazzez,"مُعَزَّزْ "
muazzam,"مُعَظَّمْ "
muzâaf,"مُضَاعَفْ "
muzdar,"مُضْطَرْ "
muzdarib,"مُضْطَرِبْ "
muzır,"مُضِرْ "
muzırra,"مُضِرَّه "
muzlim,مُظْلِمْ
muzmer,مُضْمَرْ
muzaffer,"مُظَفَّرْ "
maârif,"مَعَارِفْ "
maârif vekîli,"مَعَارِفْ وَك۪يلِي "
ma'bûd-u bâkî,مَعْبُودُ بَاقِي
ma'bûd-u bilhak,مَعْبُودِ بِالْحَقْ
ma'bûd-u cemîl-i zülcelâl,مَعْبُودُ جَمِيلِ ذُوالْجَلَالْ
ma'bûd-u ezelî,مَعْبُودِ اَزَل۪ي
ma'bûd-u hakîkî,مَعْبُودُ حَق۪يق۪ي
ma'bûd-u mutlak,مَعْبُودِ مُطْلَقْ
ma'bûd-u zülcelâl,مَعْبُودُ ذُوالْجَلَالْ
ma'bûd-u zülcelal,مَعْبُودُ ذُوالْجَلَالْ
ma'cun,مَعْجُونْ
maddeten,مَادَّةً
ma'den-i tekemmül,"مَعْدَنِ تَكَمُّلْ "
mağdûr,"مَغْدُورْ "
mağfiret,"مَغْفِرَتْ "
mağlata,"مَغْلَطَه "
mağrib,"مَغْرِبْ "
mağrib,"مَغْرِبْ "
mağrûr,"مَغْرُورَ "
mağrûrâne,"مَغْرُورَانَه "
mağrûren,"مَغْرُورًا "
mahbes,"مَحْبَسْ "
mahbûb,"مَحْبُوبْ "
mahbûb-u bilhak,مَحْبُوبُ بِالْحَقْ
mahbûb-u ezelî,مَحْبُوبُ اَزَلِي
mahbûb-u lâyezâl,مَحْبُوبِ لَا يَزَالْ
mahbûb-u sermedî,"مَحْبُوبُ سَرْمَد۪ي "
mahbub-u mutlak,مَحْبُوبُ مُطْلَقْ
mahdûm,"مَخْدُومْ "
mahfî,"مَخْف۪ي "
mahfûz,"مَحْفُوظْ "
mahfaza,"مَحْفَظَه "
mahkeme-i celîle,"مَحْكَمَۀِ جَل۪يلَه "
mahkeme-i kübrâ,مَحْكَمَۀِ كُبْرَا
mahkeme-i temyîz,"مَحْكَمَۀِ تَمْي۪يزْ "
mahkûm,مَحْكُومْ
mahkûm,مَحْكُومْ
mahkûm-u mutlak,مَحْكُومُ مُطْلَقْ
mahkûm-u adem,مَحْكُومُ عَدَمْ
mahlûk,"مَخْلُوقْ "
mahlût,مَخْلُوطْ
mahrem,"مَحْرَمْ "
mahrem,"مَحْرَمْ "
mahremiyet,"مَحْرَمِيَتْ "
mahrûtî,مَخْرُوطِي
mahrum,مَحْرُومْ
mahrumiyet,مَحْرُومِيَتْ
mahsûr,مَحْصُورْ
mahsûs,مَخْصُوصْ
mahsud,مَحْسُودْ
mahsulât,مَحْصُولَاتْ
mahşer,"مَحْشَرْ "
mahşer,مَحْشَرْ
mahviyet,"مَحْوِيَتْ "
mahal,مَحَلْ
mahall-i izhâr,"مَحَلِّ اِظْهَارْ "
mahall-i taalluk-u kudret,مَحَلِّ تَعَلُّقُ قُدْرَتْ
mahall-i zuhûr,مَحَلِّ ظُهُورْ
mahz,مَحْضْ
mahzen,"مَخْزَنْ "
mahz-ı edeb,"مَحْضِ اَدَبْ "
mahz-ı fazl,مَحْضِ فَضْلْ
mahz-ı fazl ve kerem,مَحْضِ فَضْلْ وَ كَرَمْ
mahz-ı hidâyet,مَحْضِ هِدَايَتْ
mahz-ı hikmet,مَحْضِ حِكْمَتْ
mahz-ı hak,"مَحْضِ حَقْ "
mahz-ı hakikat,مَحْضِ حَقِيقَتْ
mahz-ı ni'met,مَحْضِ نِعْمَتْ
mahz-ı rahmet,مَحْضِ رَحْمَتْ
mahz-ı tevhîd,مَحْضِ تَوْح۪يدْ
mahz-ı vahşet,مَحْضِ وَحْشَتْ
mahz-ı vahy-i rabbânî,مَحْضِ وَحْيِ رَبَّان۪ي
mahz-ı adâlet,مَحْضِ عَدَالَتْ
mahzûn,"مَحْزُونْ "
maîşet,"مَع۪يشَتْ "
maîşet-i dünyeviye,مَع۪يشَتِ دُنْيَوِيَه
makbûl,"مَقْبُولْ "
maksûd,"مَقْصُودْ "
maksûd-u bizzât,"مَقْصُودُ بِالذَّاتْ "
maksûd-u hakiki,مَقْصُودُ حَق۪يق۪ي
maksad-ı dünyevî,"مَقْصَدِ دُنْيَو۪ي "
maktûl,مَقْتُولْ
ma'kûl,مَعْقُولْ
makam-ı ebcedî,مَقَامِ اَبْجَد۪ي
makam-ı iddiâ,"مَقَامِ اِدِّعَا "
makam-ı mahmûd,مَقَامِ مَحْمُودْ
makam-ı nüfûz,مَقَامِ نُفُوذْ
makarr-ı saltanat,"مَقَرِّ سَلْطَنَتْ "
makarr-ı saltanat-ı ebedîye,مَقَرِّ سَلْطَنَتِ اَبَدِيَه
ma'lûl,مَعْلُولْ
ma'lûm,"مَعْلُومْ "
ma'lûmât,"مَعْلُومَاتْ "
ma'lûmât-ı sâbıka,مَعْلُومَاتِ سَابِقَه
ma'mâfîh,"مَعَ مَاف۪يهْ "
ma'mûr,"مَعْمُورْ "
ma'nâ-yı hakîkî,"مَعْنَايِ حَق۪يق۪ي "
ma'nâ-yı harfî,"مَعْنَايِ حَرْف۪ي "
ma'nâ-yı ismi,مَعْنَايِ اِسْمِي
ma'nâ-yı ismî,"مَعْنَايِ اِسْم۪ي "
ma'nâ-yı işârî,"مَعْنَايِ اِشَار۪ي "
ma'nâ-yı işârî,"مَعْنَايِ اِشَار۪ي "
ma'nâ-yı mecâzî,"مَعْنَايِ مَجَاز۪ي "
ma'nâ-yı mecâzî,"مَعْنَايِ مَجَاز۪ي "
ma'nây-ı mecâzî,"مَعْنَايِ مَجَاز۪ي "
ma'nâ-yı örfî,مَعْنَايِ عُرْف۪ي
ma'nâ-yı sarîh,"مَعْنَايِ صَر۪يحْ "
ma'nâ-yı zâhirî,مَعْنَايِ ظَاهِر۪ي
ma'nen,مَعْنًا
ma'nevî tevâtür,"مَعْنَو۪ي تَوَاتُرْ "
ma'nidâr,مَعْن۪يدَارْ
manyetizma,"مَانْيَه تِيزْمَه "
manzûm,"مَنْظُومْ "
manzûm,مَنْظُومْ
manzûme,"مَنْظُومَه "
ma'rifet,"مَعْرِفَتْ "
ma'rifet-i ilâhiye,"مَعْرِفَتِ اِلٰهِيَه "
ma'rifet-i kâmile,مَعْرِفَتِ كَامِلَه
ma'rifet-i kudsiye,مَعْرِفَتِ قُدْسِيَه
ma'rûf,"مَعْرُوفْ "
ma'rûz,"مَعْرُوضْ "
ma'ruzât,"مَعْرُوضَاتْ "
maraz,مَرَضْ
maraz-ı rûhânî,مَرَضِ رُوحَان۪ي
maraz-ı rûhî,مَرَضِ رُوح۪ي
maraz-ı vesvese,مَرَضِ وَسْوَسَه
masdar,"مَصْدَرْ "
maslahat,"مَصْلَحَتْ "
masnû',"مَصْنُوعْ "
masnûât,"مَصْنُوعَاتْ "
masnû'iyet,"مَصْنُوعِيَتْ "
masrûfun leh,"مَصْرُوفٌ لَهْ "
mass,"مَصْ "
ma'sûm,مَعْصُومْ
ma'sûmâne,"مَعْصُومَانَه "
masûn,مَصُونْ
ma'sumâne,"مَعْصُومَانَه "
ma'şûk,مَعْشُوقْ
ma'şûk-u mecâzî,مَعْشُوقُ مَجَاز۪ي
ma'şûka,"مَعْشُوقَه "
matbû',"مَطْبُوعْ "
matbûât,"مَطْبُوعَاتْ "
matbah,"مَطْبَخْ "
matlûb,"مَطْلُوبْ "
ma'tuf,"مَعْطُوفْ "
maa'l-memnûniye,مَعَ الْمَمْنُونِيَه
maal-memnûniye,"مَعَ الْمَمْنُونِيَه "
maatteessüf,"مَعَ التَّأَسُّفْ "
maa't-teessüf,"مَعَ التَّأَسُّفْ "
mazhar,"مَظْهَرْ "
mazhar-ı enbiyâ,"مَظْهَرِ اَنْبِيَا "
mazhar-ı etemm,مَظْهَرِ اَتَمّ
mazhar-ı mübâhât,"مَظْهَرِ مُبَاهَاتْ "
mazhar-ı rahmet-i âlem,مَظْهَرِ رَحْمَتِ عَالَمْ
mazhariyet,"مَظْهَرِيَتْ "
mazhariyet-i esmâ-yı ilâhiye,مَظْهَرِيَتِ اَسْمَايِ اِلٰهِيَه
mazhariyet-i münkeşife,مَظْهَرِيَتِ مُنْكَشِفَه
mazlûm,"مَظْلُومْ "
mazmûn,مَضْمُونْ
maznûn,"مَظْنُونْ "
mazrûf,مَظْرُوفْ
ma'zûr,"مَعْذُورْ "
mazarrat,"مَضَرَّتْ "
nâdân,نَادَانْ
nâdim,نَادِمْ
nâfi',"نَافِعْ "
nâfî,"نَاف۪ي "
nâfile,"نَافِلَه "
nâfiz,"نَافِذْ "
nâhiye,"نَاحِيَه "
nâib,"نَائِبْ "
nâil,"نَائِلْ "
nâkıs,نَاقِصْ
nâkile,"نَاقِلَه "
nâlân,"نَالَانْ "
nâm,نَامْ
nâmdâr,"نَامْدَارْ "
nâmûs,نَامُوسْ
nâmûs-u ikrâm,نَامُوسُ اِكْرَامْ
nâmûs-u zîhayat,"نَامُوسُ ذ۪ي حَيَاتْ "
nâ-mütenâhî,"نَامُتَنَاه۪ي "
nâmus,نَامُوسْ
nâ-mahrem,"نَامَحْرَمْ "
nâr,"نَارْ "
nâr-ı hayat,"نَارِ حَيَاتْ "
nâs,"نَاسْ "
nâşî,نَاشِي
nâşir,"نَاشِرْ "
nâtık,نَاطِقْ
nâzenîn,نَازَن۪ينْ
nâzım,نَاظِمْ
nâzır,نَاظِرْ
nâzikâne,نَازِكَانَه
nâzil,نَازِلْ
nebât,"نَبَاتْ "
nebâtât,"نَبَاتَاتْ "
nebâtî,"نَبَات۪ي "
nebze,"نَبْذَه "
necât,نَجَاتْ
necîb,"نَج۪يبْ "
necis,نَجِسْ
necm-i âyet,نَجْمِ آيَتْ
necm-i zehrâ,نَجْمِ زَهْرَا
nedâmet,نَدَامَتْ
nefer,"نَفَرْ "
nefh-i sûr,"نَفْخِ صُورْ "
nefh-i sŪr,"نَفْخِ صُورْ "
nefis,نَفِسْ
nefisperest,"نَفِسْپَرَسْتْ "
nefisperver,نَفِسْپَرْوَرْ
nefiy,"نَفِيْ "
nefiy,"نَفِيْ "
nefret-i âmme,"نَفْرَتِ عَامَّه "
nefsî,"نَفْس۪ي "
nefsî,نَفْسِي
nefs-i cismânî,نَفْسِ جِسْمَانِي
nefs-i hizmet,"نَفْسِ خِدْمَتْ "
nefs-i hakîkat,"نَفْسِ حَق۪يقَتْ "
nefs-i ihbâr,نَفْسِ اِخْبَارْ
nefs-i amel,"نَفْسِ عَمَلْ "
nefy-i nefiy,نَفْيِ نَفِيْ
nehiy,نَهِيْ
neharî,نَهَارِي
nehy-i ilâhî,نَهْيِ اِلٓهِي
nemâ,نَمَا
nesc,"نَسْجْ "
nesc-i kudret,نَسْجِ قُدْرَتْ
nesebî,"نَسَب۪ي "
nesîm,"نَس۪يمْ "
nesir,نَثِرْ
nesl-i âtî,"نَسْلِ اٰت۪ي "
neş'e-i uhrâ,نَشْئَۀِ اُخْرَا
neş'et,نَشْئَتْ
neşîde,نَشِيدَه
neşir,نَشِرْ
neşr-i envâr,نَشْرِ اَنْوَارْ
neşr-i esrâr-ı kur'âniye,"نَشْرِ اَسْرَارِ قُرْاٰنِيَه "
neşriyât,"نَشْرِيَاتْ "
neşriyât-ı dîniye,نَشْرِيَاتِ د۪ينِيَه
neşv ü nemâ,"نَشْوُ و نَمَا "
neşv ü nemâ,"نَشْوُ و نَمَا "
netîce-i hilkat,نَتِيجَۀِ خِلْقَتْ
netîce-i merâm,نَتِيجَۀِ مَرَامْ
netice-i ni'met-i sâbıka,نَتِيجَۀِ نِعْمَتِ سَابِقَه
netice-i arziye,نَت۪يجَۀِ اَرْضِيَه
neûzü-billâh,"نَعُوذُ بِاللّٰهْ "
nev'ân,نَوْعاً
nevâz,نَوَازْ
nevi',"نَوْعْ "
nev'-i beşer,نوْعِ بَشَرْ
nev'-i câmi',نَوْعِ جَامِعْ
nev'-i insan,نَوْعِ اِنْسَانْ
nevm,نَوْمْ
nevrûz,"نَوْرُوزْ "
nezâfet,"نَظَافَتْ "
nezĀfet-i medeniye,"نَظَافَتِ مَدَنِيَه "
nezâhet,نَزَاهَتْ
nezâret,نَظَارَتْ
nezîh,"نَز۪يهْ "
nısf,نِصْفْ
nısf-ı âhir,"نِصْفِ اٰخِرْ "
nısf-ı evvel,"نِصْفِ اَوَّلْ "
nısf-ı arz,نِصْفِ اَرْضْ
nidâ,"نِدَا "
nifâk,"نِفَاقْ "
nihâyet,نِهَايَتْ
nikmet,نِقْمَتْ
nisbet,"نِسْبَتْ "
nisbeten,نِسْبَتًا
nisbet-i rabbâniye,نِسْبَتِ رَبَّانِيَه
nisbet-i vatanî,نِسْبَتِ وَطِنِي
niseb,نِسَبْ
nisyân,نِسْيَانْ
nisyan-ı mutlak,نِسْيَانِ مُطْلَقْ
nişân,نِشَانَ
niam,نِعَمْ
niyâz,نِيَازْ
niyet-i sâdıka,نِيَتِ صَادِقَه
nizâ',نِزَاعْ
nizâm,"نِظَامْ "
nizĀm,"نِظَامْ "
nizâm-ı hikmet,نِظَامِ حِكْمَتْ
nizam-ı ekmel,نِظَامِ اَكْمَلْ
nizam-ı fıtrat,نِظَامِ فِطْرَتْ
noksâniyet,نُقْصَانِيَتْ
nokta-i ittisal,نُقْطَۀِ اِتِّصَالْ
nokta-i kemal,نُقْطَۀِ كَمَالْ
nokta-i nazar,نُقْطَۀِ نَظَرْ
nota,نُوطَه
nûrânî,نُورَان۪ي
nûr-u tevhîd,نُورُ تَوْح۪يدْ
nûr-u a'zam,نُورُ اَعْظَمْ
nûru'l-envâr,"نُورُ اْلاَنْوَارْ "
nûrun alâ nûr,"نُورٌ عَلٰي نُورْ "
nübüvvet,"نُبُوَّتْ "
nüfûs,نُفُوسْ
nüfûs-u habîse,نُفُوسُ خَبِيثَه
nüfûs-u seba,نُفُوسُ سَبْعَه
nüfûz,"نُفُوذْ "
nükte,"نُكْتَه "
nüsha,"نُسْخَه "
nüsha-i âhar,نُسْخَۀِ آخَرْ
nüsha-i câmia,نُسْخَۀِ جَامِعَه
nüsha-i enver,نُسْخَۀِ اَنْوَرْ
nüve,نُوَه
nüve-i imtisâl,نُوَۀِ اِمْتِثَالْ
nüzûl,"نُزُولْ "
nüzûl-ü vahiy,"نُزُولُ وَحِيْ "
numûne,"نُمُونَه "
nur cemal,نُورْ جَمَالْ
nurefşan,نُورْاَفْشَانْ
nur-u ilm-i ezelî,نُورُ عِلْمِ اَزَل۪ي
nur-u rahmet-i alem,نُورُ رَحْمَتِ عَالَمْ
nur-u a'zam-ı nübüvvet,نُورُ اَعْظَمِ نُبُوَّتْ
nutfe,"نُطْفَه "
nutk-u beşerî,"نُطْقُ بَشَر۪ي "
nutuk,"نُطُقْ "
nacî,نَاجِي
nafaka,نَفَقَه
nahîf,نَح۪يفْ
nahîfe,نَح۪يفَه
nahiv,"نَحِوْ "
nahnü,نَحْنُ
nakd-i ömür,"نَقْدِ عُمُرْ "
nakîsa,نَق۪يصَه
naks,"نَقْصْ "
nakş-ı vahdet,نَقْشِ وَحْدَتْ
nakz,"نَقْضْ "
nas,نَصّ
nasb,نَصب
nasr,"نَصْرْ "
nasrânî,"نَصْرَان۪ي "
nass-ı âyet,"نَصِّ اٰيَتْ "
nass-ı kelâm,"نَصِّ كَلَامْ "
nass-ı kur'ân,"نَصِّ قُرْاٰنْ "
nazenîn,نَازَن۪ينْ
nazım,نَظِمْ
nazîf,"نَظ۪يفْ "
nazîr,"نَظ۪يرْ "
nazîre,"نَظ۪يرَه "
nazm-ı garîb-i hikmet,نَظْمِ غَرِيبِ حِكْمَتْ
nazar,نَظَرْ
nazar,نَظَرْ
nazar-ı beşer,نَظَرِ بَشَرْ
nazar-ı dikkat,"نَظَرِ دِقَّتْ "
nazar-ı dalâlet,نَظَرِ ضَلَالَتْ
nazar-ı ehemmiyet,نَظَرِاَهَمِّيَت
nazar-ı gaflet,"نَظَرِ غَفْلَتْ "
nazar-ı hikmet,نَظَرِ حِكْمَتْ
nazar-ı ibret,نَظَرِ عِبْرَتْ
nazar-ı inâyet,نَظَرِ عِنَايَتْ
nazar-ı mütâlaa,نَظَرِ مُطَالَعَه
nazar-ı nübüvvet,"نَظَرِ نُبُوَّتْ "
nazar-ı rabbanî,نَظَرِ رَبَّانِي
nazar-ı rağbet,نَظَرِ رَغْبَتْ
nazar-ı umûmî,نَظَرِ عُمُوم۪ي
nazar-ı zâhirî,"نَظَرِ ظَاهِر۪ي "
nazarî,"نَظَر۪ي "
nazariyât,"نَظَرِيَاتْ "
nazariyât-ı dîniye,نَظَرِيَاتِ دِينِيَه
nazariye,نَظَرِيَه
nazarîyat,نَظَرِيَاتْ
nazaran,"نَظَرًا "
nazaran,نَظَرًا
okka,"اُوقَّه "
ordugâh,"اُورْدُوگَاهْ "
otağ,"اُوتَاغْ "
ömr-ü zâil,"عُمْرٌ زَائِلْ "
örfî,عُرْف۪ي
pâdişâh-ı âlî,پَادِشَاهِ عَالِي
pâk,"پَاكْ "
pâyân,"پَايَانْ "
pâyitaht,"پَايِ تَخْتْ "
peder,پَدَرْ
perdedâr-ı dest-i kudret,"پَرْدَه دَارِ دَسْتِ قُدْرَتْ "
perde-i izzet,پَرْدَۀِ عِزَّتْ
perde-i izzet ve azamet,پَرْدَۀِ عِزَّتْ و عَظَمَتْ
perde-i zâhirî,پَرْدَۀِ ظَاهِر۪ي
perde-i zĀhiriye,پَرْدَۀِ ظَاهِرِيَه
perestiş,"پَرَسْتِشْ "
perestişkâr,پَرَسْتِشْكَارْ
pervâ,"پَرْوَا "
pervâz,پَرْوَازْ
perverde,ﭘََرْوَرْدَه
pervane,پَرْوَانَه
pest,"پَسْتْ "
peydâ,"پَيْدَا "
peyk,"پَيْكْ "
pîr,"پ۪يرْ "
pîşdâr,"پ۪يشْدَارْ "
pîşe,پِيشَه
pür-hatar,پُرْ خَطَرْ
pür-merâk,پُرْمَرَاقْ
pür-şer beşer,"پُرْ شَرْ بَشَرْ "
pusula,پُوصُولَه
pare,پَارَه
para,پَارَه
patiska,پَاتِسْقهَ
râbıta,"رَابِطَه "
râbia,رَابِعَه
râci',"رَاجِعْ "
râcih,"رَاجِحْ "
râdde,"رَادَّه "
râsih,رَاسِخْ
râyiha,"رَايِحَه "
recâ,"رَجَا "
redd-i müdâhale,رَدِّ مُدَاخَلَه
refâkat,"رَفَاقَتْ "
re'fet,"رَأْفَتْ "
re'fet-i rabbaniye,رَأْفَتِ رَبَّانِيَه
re'fetkârâne,"رَأْفَتْكَارَانَه "
refîk,رَفِيقْ
refîka,"رَف۪يقَه "
refahet,رَفَاهَتْ
rehâvet,"رَخَاوَتْ "
rehber-i ekmel,رَهْبَرِ اَكْمَلْ
remiz,"رَمِزْ "
remzen,"رَمْزًا "
remzî,"رَمْز۪ي "
remz-i hikmet,رَمْزِ حِكْمَتْ
remz-i hikmet-i kâinât,رَمْزِ حِكْمَتِ كَائِنَاتْ
remz-i kader,"رَمْزِ قَدَرْ "
remz-i nizâm,رَمْزِ نِظَامْ
rencide,"رَنْج۪يدَه "
rencîde,"رَنْج۪يدَه "
re's,"رَأْسْ "
resûl,"رَسُولْ "
reşha,"رَشْحَه "
revân,رَوَانْ
rezzâk,"رَزَّاقْ "
rızâ-yı bâri,رِضَايِ بَار۪ي
rızâ-yı ilâhî,رِضَايِ اِلٰه۪ي
rızâ-yı küfür,رِضَايِ كُفُرْ
rızk-ı fıtrî,"رِزْقِ فِطْر۪ي "
riâyet,"رِعَايَتْ "
ricâl-i devlet,"رِجَالِ  دَوْلَتْ "
rikkat,"رِقَّتْ "
rikkat-i cinsiye,"رِقَّتِ جِنْسِيَه "
risâle,"رِسَالَه "
risâlet,"رِسَالَتْ "
rivâyet,"رِوَايَتْ "
riyâ,"رِيَا "
riyâkâr,"رِيَاكَارْ "
riyâset,"رِيَاسَتْ "
riyâzet,"رِيَاضَتْ "
riyâzî,"رِيَاض۪ي "
rûh-u âlî,رُوحُ عَالِي
rûh-u beşer,رُوحِ بَشَرْ
rûh-u habîs,رُوحُ خَب۪يثْ
rûznâme,رُوزْنَامَه
rûz-u cezâ,"رُوزِ جَزَا "
rücû',"رُجُوعْ "
rüesâ,"رُؤَسَا "
rükün,"رُكُنْ "
rütbeten,رُتْبَةً
rüyâ-yı sâdıka,"رُؤْيَايِ صَادِقَه "
rü'yet,"رُؤْيَتْ "
rü'yet-i cemâl,رُؤْيَتِ جَمَالْ
rü'yet-i cemâl-i ilâhî,رُؤْيَتِ جَمَالِ اِلٓهِي
rü'yet-i ilâhiye,رُؤْيَتِ اِلٰهِيَه
ruhbâniyet,"رُهْبَانِيَتْ "
ruhsat,"رُخْصَتْ "
ruhanî,"رُوحَان۪ي "
rumûz-u şathiyât,رُمُوزُ شَطْحِيَاتْ
rumuz,رُمُوزْ
rab,"رَبْ "
rabbânî,رَبَّان۪ي
rabb-i rahîm,"رَبِّ رَح۪يمْ "
rabt,"رَبْطْ "
rağbet-i amme,رَغْبَتِ عَامَّه
rahîm,"رَح۪يمْ "
rahîm,"رَح۪يمْ "
rahîm-i kerîm,"رَح۪يمِ كَر۪يمْ "
rahîm-i mutlak," رَح۪يمِ مُطْلَقْ"
rahmân,رَحْمَنْ
rahmân-ı rahîm,"رَحْمٰنِ رَح۪يمْ "
rahmet,"رَحْمَتْ "
rahmet,رَحْمَتْ
rahmet-i uzmâ-yı ilâhiye,رَحْمَتِ عُظْمَايِ اِلٰهِيَه
rahne,رَخْنَه
raiyet,"رَعِيَتْ "
raiyetperver,رَعِيَتْپَرْوَرْ
raks,رَقْسْ
rasad,رَصَدْ
raûf,"رَؤُفْ "
rayb,رَيْبْ
sâbık,"سَابِقْ "
sâbıkan,"سَابِقًا "
sâbir,"صَابِرْ "
sâbit,ثَابِتْ
sâbia,سَابِعهَ
sâcid,"سَاجِدْ "
sâdık,صَادِقْ
sâdıkĀne,"صَادِقَانَه "
sâfî,صَاف۪ي
sâhib-i kemâl,صَاحِبِ كَمَالْ
sâik,سَائِقْ
sâik-i hakîm,سَائِقِ حَكِيمْ
sâika,"سَائِقَه "
sâika,"صَاعِقَه "
sâir,"سَائِرْ "
sâkıt,سَاقِطْ
sâkit,سَاﻛِتْ
sâlisen,"ثَالِثًا "
sâmia,سَامِعَه
sâni',"صَانِعْ "
sânî,ثَان۪ي
sâniyen,"ثَانِيًا "
sârî,"سَار۪ي "
sârî illet,"سَار۪ي عِلَّتْ "
sârîye,سَارِيَه
sâye,سَايَه
sebât,ثَبَاتْ
sebâtkâr,"ثَبَاتْكَارْ "
sebeb-i def'-i musibet,"سَبَبِ دَفْعِ مُص۪يبَتْ "
sebeb-i hilkat-i âlem,"سَبَبِ خِلْقَتِ عَالَمْ "
sebeb-i hilkat-i eflâk,سَبَبِ خِلْقَتِ اَفْلاَكْ
sebeb-i husûl,سَبَبِ حُصُولْ
sebeb-i necât,سَبَبِ نَجَاتْ
sebkat,"سَبْقَتْ "
sebkatiyet,"سَبْقَتِيَتْ "
seciye,سَجِيَه
seciyeten,سَجِيَتًا
sed,سَدْ
sefâlet,سَفَالَتْ
seferberlik,سَفَرْبَرْلِكْ
sefîh,"سَف۪يهْ "
sefîl,سَفيِلْ
sefîne,"سَف۪ينهَ "
sehâvet,سَخَاوَتْ
sehhâr,سَحَّارْ
sehil,"سَهِلْ "
sehiv,سَهِوْ
sehven,سَهْوًا
sekene,سَكَنَه
sekene-i arz,سَكَنَۀِ اٰرْضْ
sekîne,"سَك۪ينَه "
sekir,"سَكِرْ "
sekte,"سَكْتَه "
selâm,"سَلَامْ "
selâmet,"سَلَامَتْ "
